Continent,Regions,Code,Zones,City,State,Country,Opened,Latitude,Longitude,Company,Location
Asia,China ,cn-qingdao,2,Qingdao,,China,2012,36.1167,120.4,alibaba,"Qingdao, China"
Asia,China ,cn-beijing,12,Beijing,,China,2013,39.904,116.4075,alibaba,"Beijing, China"
Asia,China ,cn-zhangjiakou,3,Zhangjiakou,,China,2014,40.8108,114.8811,alibaba,"Zhangjiakou, China"
Asia,China ,cn-huhehaote,2,Hohhot,,China,2017,40.8151,111.6629,alibaba,"Hohhot, China"
Asia,China ,cn-wulanchabu,3,Ulanqab,,China,2020,40.9949,113.132,alibaba,"Ulanqab, China"
Asia,China ,cn-hangzhou,8,Hangzhou,,China,2011,30.25,120.1675,alibaba,"Hangzhou, China"
Asia,China ,cn-shanghai,11,Shanghai,,China,2015,31.1667,121.4667,alibaba,"Shanghai, China"
Asia,China ,cn-nanjing,1,Nanjing,,China,2021,32.0608,118.7789,alibaba,"Nanjing, China"
Asia,China ,cn-fuzhou,1,Fuzhou,,China,2022,26.0769,119.2917,alibaba,"Fuzhou, China"
Asia,China ,cn-wuhan-lr,1,Wuhan,,China,2023,30.5872,114.2881,alibaba,"Wuhan, China"
Asia,China ,cn-shenzhen,6,Shenzhen,,China,2014,22.535,114.054,alibaba,"Shenzhen, China"
Asia,China ,cn-heyuan,2,Heyuan,,China,2020,23.7503,114.6923,alibaba,"Heyuan, China"
Asia,China ,cn-guangzhou,2,Guangzhou,,China,2020,23.13,113.26,alibaba,"Guangzhou, China"
Asia,China ,cn-chengdu,2,Chengdu,,China,2020,30.66,104.0633,alibaba,"Chengdu, China"
Asia,China ,cn-hongkong,3,Hong Kong,,China,2014,22.3193,114.1694,alibaba,"Hong Kong, China"
North America,US ,us-east-1,2,Washington,D.C.,United States,2015,38.9047,-77.0163,alibaba,"Washington, D.C., United States"
North America,US ,us-west-1,2,San Francisco,California,United States,2014,37.7558,-122.4449,alibaba,"San Francisco, California, United States"
Europe,Germany ,eu-central-1,3,Frankfurt,,Germany,2016,50.1106,8.6822,alibaba,"Frankfurt, Germany"
Europe,UK ,eu-west-1,2,London,,United Kingdom,2018,51.5072,-0.1275,alibaba,"London, United Kingdom"
Oceania,Australia ,ap-southeast-2,2,Sydney,,Australia,2016,-33.8678,151.21,alibaba,"Sydney, Australia"
Asia,India ,ap-south-1,2,Mumbai,,India,2018,19.0761,72.8775,alibaba,"Mumbai, India"
Asia,Indonesia ,ap-southeast-5,3,Jakarta,,Indonesia,2018,-6.175,106.8275,alibaba,"Jakarta, Indonesia"
Asia,Japan ,ap-northeast-1,3,Tokyo,,Japan,2016,35.6897,139.6922,alibaba,"Tokyo, Japan"
Asia,Malaysia ,ap-southeast-3,2,Kuala Lumpur,,Malaysia,2017,3.1478,101.6953,alibaba,"Kuala Lumpur, Malaysia"
Asia,Philippines ,ap-southeast-6,1,Manila,,Philippines,2021,14.5958,120.9772,alibaba,"Manila, Philippines"
Asia,Singapore ,ap-southeast-1,3,Singapore,,Singapore,2015,1.3,103.8,alibaba,"Singapore, Singapore"
Asia,South Korea ,ap-northeast-2,1,Seoul,,South Korea,2022,37.56,126.99,alibaba,"Seoul, South Korea"
Asia,Thailand ,ap-southeast-7,1,Bangkok,,Thailand,2022,13.7525,100.4942,alibaba,"Bangkok, Thailand"
Asia,SAU ,me-central-1,2,Riyadh,,Saudi Arabia,2022,24.6333,46.7167,alibaba,"Riyadh, Saudi Arabia"
Asia,UAE ,me-east-1,1,Dubai,,UAE,2016,25.2631,55.2972,alibaba,"Dubai, UAE"
North America,US East ,us-east-2,3,Columbus,Ohio,United States,2016,39.9862,-82.9855,amazon,"Columbus, Ohio, United States"
North America,US West ,us-west-2,4,Eastern,Oregon,United States,2011,44.4384,-118.8918,amazon,"Eastern, Oregon, United States"
North America,US West ,us-west-1,3,San Francisco,California,United States,2009,37.7558,-122.4449,amazon,"San Francisco, California, United States"
North America,US East ,us-east-1,6,Multiple,Virginia,United States,2006,37.9268,-78.0249,amazon,"Multiple, Virginia, United States"
North America,AWS GovCloud ,us-gov-east-1,3,Columbus,Ohio,United States,2018,32.51,-84.8771,amazon,"Columbus, Ohio, United States"
North America,Canada ,ca-central-1,3,Montreal,Quebec,Canada,2016,45.5089,-73.5617,amazon,"Montreal, Quebec, Canada"
North America,Canada ,ca-west-1,3,Calgary,Alberta,Canada,2024,51.05,-114.0667,amazon,"Calgary, Alberta, Canada"
South America,South America ,sa-east-1,3,Sao Paulo,,Brazil,2011,-23.55,-46.6333,amazon,"Sao Paulo, Brazil"
Europe,Europe ,eu-central-1,3,Frankfurt,,Germany,2014,50.1106,8.6822,amazon,"Frankfurt, Germany"
Europe,Europe ,eu-west-1,3,Dublin,,Ireland,2007,53.35,-6.2603,amazon,"Dublin, Ireland"
Europe,Europe ,eu-west-2,3,London,,UK,2016,51.5072,0.1276,amazon,"London, UK"
Europe,Europe ,eu-south-1,3,Milan,,Italy,2020,45.4669,9.19,amazon,"Milan, Italy"
Europe,Europe ,eu-west-3,3,Paris,,France,2017,48.8567,2.3522,amazon,"Paris, France"
Europe,Europe ,eu-south-2,3,Aragon,,Spain,2022,41.5976,0.9057,amazon,"Aragon, Spain"
Europe,Europe ,eu-north-1,3,Stockholm,,Sweden,2018,59.3294,18.0686,amazon,"Stockholm, Sweden"
Europe,Europe ,eu-central-2,3,Zurich,,Switzerland,2022,47.3744,8.5411,amazon,"Zurich, Switzerland"
Oceania,Asia Pacific ,ap-southeast-5,3,Auckland,,New Zealand,2024,-36.8406,174.74,amazon,"Auckland, New Zealand"
Asia,Asia Pacific ,ap-southeast-6,3,Bangkok,,Thailand,2024,13.7525,100.4942,amazon,"Bangkok, Thailand"
Asia,Asia Pacific ,ap-east-1,3,Hong Kong,,SAR,2019,22.3193,114.1694,amazon,"Hong Kong, SAR"
Asia,Asia Pacific ,ap-south-2,3,Hyderabad,,India,2022,17.385,78.4867,amazon,"Hyderabad, India"
Asia,Asia Pacific ,ap-southeast-3,3,Jakarta,,Indonesia,2021,-6.175,106.8275,amazon,"Jakarta, Indonesia"
Asia,Asia Pacific ,ap-southeast-7,3,Kuala Lumpur,,Malaysia,2024,3.1478,101.6953,amazon,"Kuala Lumpur, Malaysia"
Oceania,Asia Pacific ,ap-southeast-4,3,Melbourne,,Australia,2023,-37.8142,144.9631,amazon,"Melbourne, Australia"
Asia,Asia Pacific ,ap-south-1,3,Mumbai,,India,2016,19.0761,72.8775,amazon,"Mumbai, India"
Asia,Asia Pacific ,ap-northeast-3,3,Osaka,,Japan,2021,34.6939,135.5022,amazon,"Osaka, Japan"
Asia,Asia Pacific ,ap-northeast-2,4,Seoul,,South Korea,2016,37.56,126.99,amazon,"Seoul, South Korea"
Asia,Asia Pacific ,ap-southeast-1,3,Singapore,,Singapore,2010,1.3,103.8,amazon,"Singapore, Singapore"
Oceania,Asia Pacific ,ap-southeast-2,3,Sydney,,Australia,2012,-33.8678,151.21,amazon,"Sydney, Australia"
Asia,Asia Pacific ,ap-northeast-1,4,Tokyo,,Japan,2011,35.6897,139.6922,amazon,"Tokyo, Japan"
Asia,China ,cn-north-1,3,Beijing,,China,2014,39.904,116.4075,amazon,"Beijing, China"
Asia,China ,cn-northwest-1,3,Changsha,,China,2017,28.1987,112.9709,amazon,"Changsha, China"
Africa,Africa ,af-south-1,3,Cape Town,,South Africa,2020,-33.9253,18.4239,amazon,"Cape Town, South Africa"
Asia,Middle East ,me-south-1,3,Manama,,Bahrain,2019,26.225,50.5775,amazon,"Manama, Bahrain"
Asia,Israel ,il-central-1,3,Tel Aviv,,Israel,2023,32.0853,34.7818,amazon,"Tel Aviv, Israel"
Asia,Middle East ,me-central-1,3,Dubai,,UAE,2022,25.2048,55.2708,amazon,"Dubai, UAE"
North America,Iowa,us-central1,4,Council Bluffs,Iowa,United States,2013,41.2369,-95.8516,google,"Council Bluffs, Iowa, United States"
North America,South Carolina,us-east1,3,Moncks Corner,South Carolina,United States,2015,33.173,-80.0107,google,"Moncks Corner, South Carolina, United States"
North America,Northern Virginia,us-east4,3,Ashburn,Virginia,United States,2017,39.0277,-77.4714,google,"Ashburn, Virginia, United States"
North America,Columbus,us-east5,3,Columbus,Ohio,United States,2022,39.9862,-82.9855,google,"Columbus, Ohio, United States"
North America,Dallas,us-south1,3,Dallas,Texas,United States,2022,32.7935,-96.7667,google,"Dallas, Texas, United States"
North America,Oregon,us-west1,3,The Dalles,Oregon,United States,2013,45.6053,-121.1818,google,"The Dalles, Oregon, United States"
North America,Los Angeles,us-west2,3,Los Angeles,California,United States,2018,34.1141,-118.4068,google,"Los Angeles, California, United States"
North America,Salt Lake City,us-west3,3,Salt Lake City,Utah,United States,2020,40.7776,-111.9311,google,"Salt Lake City, Utah, United States"
North America,Las Vegas,us-west4,3,Las Vegas,Nevada,United States,2020,36.2333,-115.2654,google,"Las Vegas, Nevada, United States"
North America,Montreal,northamerica-northeast1,3,Montreal,Quebec,Canada,2018,45.5089,-73.5617,google,"Montreal, Quebec, Canada"
North America,Toronto,northamerica-northeast2,3,Toronto,Ontario,Canada,2021,43.7417,-79.3733,google,"Toronto, Ontario, Canada"
South America,Sao Paulo,southamerica-east1,3,Sao Paulo,,Brazil,2017,-23.55,-46.6333,google,"Sao Paulo, Brazil"
South America,Santiago,southamerica-west1,3,Santiago,,Chile,2021,-33.4372,-70.6506,google,"Santiago, Chile"
